[REF],DESCRIPTION,LINK
1.1,"""The world depends on a collection of strange items. They're not cheap"" - Veritasium",The world depends on a collection of strange items. They're not cheap - YouTube
1.2,"""Why Navy Enigma was Different w/ James Grime"" - Another Roof",Why Navy Enigma was Different w/ James Grime
1.3,Bruce Schneier - Wikipedia,Bruce Schneier - Wikipedia
1.4,Submission Requirements and Evaluation Criteria for the Post-Quantum Cryptography Standardization Process - NIST,call-for-proposals-final-dec-2016.pdf
1.5,Post-Quantum RSA - Bernstein et al.,351.pdf
1.6,NIST Post-Quantum Cryptography Standardization - Wikipedia,NIST Post-Quantum Cryptography Standardization - Wikipedia
1.7,"The William Lowell Putnam Mathematical Competition, 1987 results",The William Lowell Putnam Mathematical Competition on JSTOR
1.8,Curve25519: new Diffie-Hellman speed records - Daniel J. Bernstein,curve25519.dvi
1.9,EFF at 25: Remembering the Case that Established Code as Speech,EFF at 25: Remembering the Case that Established Code as Speech | Electronic Frontier Foundation
1.10,"DJB apparently coins the term ""post-quantum cryptography""",Has anyone really cracked anything recently?
1.11,"""A Simple Provably Secure Key Exchange Scheme Based on the Learning with Errors Problem"" - Jintai Ding et al.",A Simple Provably Secure Key Exchange Scheme Based on the Learning with Errors Problem
1.12,"""Multivariate Public Key Cryptosystems"" - Jintai Ding et al.",N/A
1.13,"""New Cryptographic Systems Using Pairing with Errors"" - Jintai Ding",20150067336
1.14,"""Experimenting with Post-Quantum Cryptography"" - Google Security Blog",Google Online Security Blog: Experimenting with Post-Quantum Cryptography
1.15,"""CECPQ1 results"" - Adam Langley, ImperialViolet",ImperialViolet - CECPQ1 results
1.16,"""Plagiarism as a patent amplifier"" - The cr.yp.to blog, Daniel J Bernstein",cr.yp.to: 2022.01.29: Plagiarism as a patent amplifier
1.17,Round 1 Submissions - NIST,Post-Quantum Cryptography | CSRC
2.1,Website of Lorenz Panny,Lorenz Panny
2.2,Lorenz Panny's attack against Guess Again,Official Comment - Guess Again
2.3,Lorenz Panny's paper refuting Guess Again's claims,1228.pdf
2.4,Lorenz's attack against RVB,Official Comments - RVB
2.5,Lorenz et al. vs RaCoss,Official Comments - RaCoSS
2.6,"Yongge, later Gaborit, attack McNie",Official Comments - McNie
2.7,"Couvreur, Lequesne, Tillich attack RLCE-KEM",Official Comments - RLCE-KEM
2.8,"Barelli, Couvreur attack DAGS",Official Comments - DAGS
2.9,"Tillich, Lequesne attack Edon-K",Official Comments - Edon-K
2.10,"Tillich, Debris-Alazard attack RankSign",Official Comments - RankSign
2.11,"Beullens, Castryck, Vercauteren attack Giophantus",Official Comments - Giophantus
2.12,Attacks against Walnut,Official Comments - WalnutDSA
